,real_time,WT_Runcode,iGenPower,iGenSpeed,iTemp1GearOil_1sec,iTempGearBearDE_1sec,iTempGearBearNDE_1sec,iTempNacelle_1sec,iWindSpeed
131,2017-11-15 08:15:11,3,2026,1740,58.0,59.4,62.4,16.5,11.73
132,2017-11-15 08:15:12,3,2021,1741,58.0,59.4,62.5,16.5,12.58
133,2017-11-15 08:15:13,3,1996,1741,58.0,59.4,62.5,16.5,11.91
134,2017-11-15 08:15:14,3,2015,1742,58.0,59.4,62.4,16.5,12.22
135,2017-11-15 08:15:15,3,2031,1746,58.0,59.3,62.5,16.6,12.16
136,2017-11-15 08:15:16,3,2035,1747,58.1,59.3,62.5,16.5,12.32
137,2017-11-15 08:15:17,3,2035,1745,58.1,59.4,62.5,16.5,11.71
138,2017-11-15 08:15:18,3,2029,1746,58.0,59.4,62.4,16.5,12.41
139,2017-11-15 08:15:19,3,2007,1744,58.0,59.4,62.5,16.5,12.13
140,2017-11-15 08:15:20,3,2039,1751,58.0,59.4,62.5,16.5,12.03
141,2017-11-15 08:15:21,3,2065,1757,58.0,59.4,62.5,16.5,11.54
142,2017-11-15 08:15:22,3,2052,1760,58.1,59.4,62.4,16.5,12.4
143,2017-11-15 08:15:23,3,2056,1764,58.1,59.4,62.4,16.5,11.4
144,2017-11-15 08:15:24,3,2049,1767,58.0,59.4,62.4,16.4,11.27
145,2017-11-15 08:15:25,3,2045,1763,58.0,59.4,62.4,16.4,11.48
146,2017-11-15 08:15:26,3,2050,1762,58.0,59.4,62.4,16.5,10.25
147,2017-11-15 08:15:27,3,2054,1757,58.0,59.4,62.5,16.5,10.81
148,2017-11-15 08:15:28,3,2050,1758,58.0,59.4,62.4,16.5,11.78
149,2017-11-15 08:15:29,3,2043,1756,58.0,59.4,62.5,16.5,11.27
150,2017-11-15 08:15:30,3,2050,1756,58.1,59.4,62.5,16.5,11.02
151,2017-11-15 08:15:31,3,2052,1758,58.1,59.4,62.4,16.5,12.57
152,2017-11-15 08:15:32,3,2050,1757,58.1,59.4,62.5,16.5,12.04
153,2017-11-15 08:15:33,3,2042,1754,58.1,59.4,62.5,16.5,12.41
154,2017-11-15 08:15:34,3,2060,1758,58.1,59.4,62.5,16.5,12.09
155,2017-11-15 08:15:35,3,2052,1757,58.1,59.4,62.4,16.5,12.35
156,2017-11-15 08:15:36,3,2038,1752,58.1,59.4,62.4,16.5,11.07
157,2017-11-15 08:15:37,3,2050,1752,58.1,59.4,62.5,16.5,11.02
158,2017-11-15 08:15:38,3,2051,1749,58.1,59.4,62.4,16.5,12.61
159,2017-11-15 08:15:39,3,2055,1743,58.1,59.5,62.5,16.5,10.93
160,2017-11-15 08:15:40,3,2057,1739,58.1,59.4,62.5,16.5,12.27
161,2017-11-15 08:15:41,3,2049,1738,58.1,59.4,62.5,16.5,10.71
162,2017-11-15 08:15:42,3,2036,1738,58.1,59.4,62.4,16.5,9.99
163,2017-11-15 08:15:43,3,2013,1739,58.1,59.4,62.4,16.5,11.76
164,2017-11-15 08:15:44,3,2009,1740,58.1,59.4,62.5,16.5,11.82
165,2017-11-15 08:15:45,3,2005,1741,58.1,59.4,62.5,16.5,11.48
166,2017-11-15 08:15:46,3,2010,1741,58.1,59.5,62.4,16.5,12.64
167,2017-11-15 08:15:47,3,2017,1745,58.1,59.4,62.5,16.5,10.35
168,2017-11-15 08:15:48,3,2012,1746,58.1,59.4,62.5,16.5,10.8
169,2017-11-15 08:15:49,3,2022,1746,58.1,59.4,62.4,16.5,11.33
170,2017-11-15 08:15:50,3,2038,1747,58.1,59.4,62.4,16.5,12.07
171,2017-11-15 08:15:51,3,2026,1745,58.1,59.4,62.4,16.5,9.71
172,2017-11-15 08:15:52,3,2013,1743,58.1,59.4,62.5,16.5,11.58
173,2017-11-15 08:15:53,3,1986,1741,58.1,59.4,62.5,16.5,12.09
174,2017-11-15 08:15:54,3,1952,1737,58.1,59.4,62.4,16.5,10.61
175,2017-11-15 08:15:55,3,1939,1739,58.1,59.4,62.5,16.5,10.58
176,2017-11-15 08:15:56,3,1942,1738,58.1,59.4,62.4,16.5,10.75
177,2017-11-15 08:15:57,3,1949,1741,58.1,59.4,62.4,16.5,10.64
178,2017-11-15 08:15:58,3,1941,1739,58.1,59.4,62.5,16.5,10.47
179,2017-11-15 08:15:59,3,1966,1743,58.0,59.5,62.5,16.5,10.94
180,2017-11-15 08:16:00,3,1974,1743,58.0,59.4,62.5,16.5,10.55
181,2017-11-15 08:16:01,3,2008,1748,58.0,59.4,62.5,16.5,11.08
182,2017-11-15 08:16:02,3,2017,1747,58.0,59.4,62.5,16.5,10.51
183,2017-11-15 08:16:03,3,2041,1748,58.0,59.4,62.5,16.5,10.62
184,2017-11-15 08:16:04,3,2058,1750,58.0,59.4,62.5,16.5,10.77
185,2017-11-15 08:16:05,3,2060,1753,58.1,59.5,62.4,16.5,9.7
186,2017-11-15 08:16:06,3,2039,1753,58.1,59.5,62.5,16.5,9.19
187,2017-11-15 08:16:07,3,2057,1760,58.1,59.5,62.4,16.5,10.65
188,2017-11-15 08:16:08,3,2049,1759,58.1,59.5,62.5,16.5,12.36
189,2017-11-15 08:16:09,3,2058,1760,58.0,59.4,62.5,16.5,10.01
190,2017-11-15 08:16:10,3,2059,1761,58.0,59.4,62.5,16.5,12.26
191,2017-11-15 08:16:11,3,2053,1757,58.1,59.5,62.5,16.5,11.01
192,2017-11-15 08:16:12,3,2039,1749,58.1,59.5,62.5,16.5,11.0
193,2017-11-15 08:16:13,3,2042,1743,58.1,59.5,62.5,16.5,11.47
194,2017-11-15 08:16:14,3,2049,1744,58.1,59.5,62.5,16.5,10.93
